Ingredient,Supplier,Cost per kg,Select,Ingredient Category,Cost Kg w Composite,Composite cost,TOTAL/MERIDA (from Composite cost),Imported table,OIK104 MENU INGREDIENTS copy,datecreated,OIK104 MENU,OIK104 MENU copy,OIK104 MENU INGREDIENTS copy,SUPPLIES 2025,SUPPLIES 2026,Q 2025 (from SUPPLIES 2026),Q 2026 (from SUPPLIES 2026),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS
ΠΙΠΕΡΙΕΣ ΦΛΩΡΙΝΗΣ,,"3,10",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"3,10",,,"ΨΗΤΑ ΛΑΧΑΝΙΚΑ,ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,ΣΠΕΣΙΑΛ,ΤΥΡΟΚΑΥΤΕΡΗ",,5/4/2025 8:36am,,,"ΤΥΡΟΚΑΥΤΕΡΗ,ΣΠΕΣΙΑΛ",,,,,"ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ, ΨΗΤΑ ΛΑΧΑΝΙΚΑ",
ΠΙΠΕΡΙΕΣ ΦΛΩΡΙΝΗΣ ΚΟΝΣΕΡΒΑ (5Κ/ΤΜΧ),"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,97",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,97",,,,,6/4/2025 8:28am,,,,,,,,,
ΠΙΠΕΡΙΤΣΑ ΤΣΙΛΙ,,"4,20",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"4,20",,,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),,8/4/2025 6:08pm,,,,,,,,,
ΠΙΤΑ ΚΑΛΑΜΠΟΚΙΟΥ,,"0,17",CONNECTED INGREDIENTS,ΑΡΤΟΣΚΕΥΑΣΜΑΤΑ,"0,17",,,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,,7/5/2025 10:47am,,,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,,,,,,
ΠΙΤΑ ΟΛΙΚΗΣ,,"0,15",CONNECTED INGREDIENTS,ΑΡΤΟΣΚΕΥΑΣΜΑΤΑ,"0,15",,,ΟΛΙΚΗΣ VEGETARIAN ,,7/5/2025 10:49am,,,ΟΛΙΚΗΣ VEGETARIAN ,,,,,,
ΠΙΤΑ ΤΕΤΡΑΓΩΝΗ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","0,14",CONNECTED INGREDIENTS,ΑΡΤΟΣΚΕΥΑΣΜΑΤΑ,"0,14",,,"ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ",,6/4/2025 8:30am,,,"ΣΟΥΒΛΑΚΙ ΧΟΙΡΙΝΟ ΜΕΡΙΔΑ,ΣΟΥΒΛΑΚΙ ΚΟΤΟΠΟΥΛΟ  ΜΕΡΙΔΑ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ",,,,,"ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ",
ΠΙΤΑ ΧΕΙΡΟΠΟΙΗΤΗ,,"0,16",CONNECTED INGREDIENTS,ΑΡΤΟΣΚΕΥΑΣΜΑΤΑ,"0,16",,,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,,7/5/2025 10:46am,,,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,,,,,,
ΠΛΙΓΟΥΡΙ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,30",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,30",,,ΧΩΡΙΑΤΙΚΗ YACHT CLUB,,6/4/2025 8:28am,,,,,,,,ΧΩΡΙΑΤΙΚΗ YACHT CLUB,
ΠΟΛΤΟΣ ΤΟΜΑΤΑΣ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","3,01",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"3,01",,,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,6/4/2025 8:28am,,,"ΜΟΥΣΑΚΑΣ 12 ΜΕΡΙΔΕΣ ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ",,,,,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,
ΠΟΡΤΟΚΑΛΙΑ,,"0,80",CONNECTED INGREDIENTS,ΦΡΟΥΤΑ,"0,80",,,"ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ",,6/4/2025 8:18am,,,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,,,,,"ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΚΑΛΟΚΑΙΡΙΝΗ ΑΝΑΜΕΙΚΤΗ, ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ)",
ΠΡΑΛΙΝΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","5,65",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"5,65",,,,,6/4/2025 8:28am,,,,,,,,,
ΠΡΑΣΣΑ,,"1,30",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"1,30",,,"ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ",,5/4/2025 8:36am,,,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),,,,,"ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ)",
ΠΡΑΣΣΟ,,,CONNECTED INGREDIENTS,,,,,,,8/4/2025 9:28pm,,,,,,,,,
ΠΡΟΒΕΙΟ,,"7,53",CONNECTED INGREDIENTS,ΚΡΕΑΤΑ - ΠΟΥΛΕΡΙΚΑ,"7,53",,,,,6/4/2025 8:24am,,,,,,,,,
ΠΡΟΒΕΙΟ ΚΟΝΤΟΣΟΥΒΛΙ,,,CONNECTED INGREDIENTS,,,,,,,8/4/2025 9:42pm,,,,,,,,,
ΠΡΟΣΟΥΤΟ,,"20,56",CONNECTED INGREDIENTS,ΑΛΛΑΝΤΙΚΑ,"20,56",,,ΠΡΟΣΟΥΤΟ,,6/4/2025 8:22am,,,ΠΡΟΣΟΥΤΟ,,,,,,
ΠΤΙ ΜΠΕΡ,,,CONNECTED INGREDIENTS,,,,,ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,,7/5/2025 9:26am,,,ΚΑΛΤΣΟΝΕ ΝΟΥΤΕΛΑ,,,,,,
ΡΕΒΥΘΙΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","2,30",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"2,30",,,ΧΟΥΜΟΥΣ,,6/4/2025 8:28am,,,,,,,,ΧΟΥΜΟΥΣ,
ΡΙΓΑΝΗ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","8,53",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"8,53",,,"ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ,ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ,ΧΩΡΙΑΤΙΚΗ YACHT CLUB,ΧΩΡΙΑΤΙΚΗ,ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΣΑΛΤΣΑ ΦΕΤΑΣ  1ΚΙΛΟΥ,ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ,ΣΑΛΤΣΑ ΠΙΤΣΑΣ,ΜΑΡΓΑΡΙΤΑ,ΝΤΑΚΟΣ,ΣΤΡΑΠΑΤΣΑΔΑ,ΧΤΑΠΟΔΙ ΞΥΔΑΤΟ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ",,6/4/2025 8:28am,,,"ΜΑΡΓΑΡΙΤΑ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,ΣΤΡΑΠΑΤΣΑΔΑ,XΩΡΙΑΤΙΚΗ ΣΑΛΑΤΑ,ΝΤΑΚΟΣ,ΧΤΑΠΟΔΙ ΞΥΔΑΤΟ",,,,,"ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ ΣΑΓΑΝΑΚΙ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ, ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ, ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ, ΧΩΡΙΑΤΙΚΗ, ΧΩΡΙΑΤΙΚΗ YACHT CLUB, ΣΑΛΤΣΑ ΦΕΤΑΣ 1ΚΙΛΟΥ,  ΣΑΛΤΣΑ ΦΕΤΑΣ  1ΚΙΛΟΥ, ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ, ΣΑΛΤΣΑ ΠΙΤΣΑΣ,  ΣΑΛΤΣΑ ΦΕΤΑΣ  1ΚΙΛΟΥ",
ΡΟΚΑ,,"0,90",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"0,90",,,"ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,ΠΡΟΣΟΥΤΟ",,5/4/2025 8:36am,,,ΠΡΟΣΟΥΤΟ,,,,,"ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ, ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ",
ΡΥΖΙ ΚΑΡΟΛΙΝΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,30",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,30",,,"ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΡΥΖΟΓΑΛΟ",,6/4/2025 8:28am,,,ΡΥΖΟΓΑΛΟ,,,,,"ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ 60 TEM, ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ",
ΣΑΛΑΜΙ ΑΕΡΟΣ,,"7,84",CONNECTED INGREDIENTS,ΑΛΛΑΝΤΙΚΑ,"7,84",,,ΣΠΕΣΙΑΛ,,6/4/2025 8:22am,,,ΣΠΕΣΙΑΛ,,,,,,
ΣΑΛΑΤΑ,,,CONNECTED INGREDIENTS,,,,,,,8/4/2025 9:41pm,,,,,,,,,
ΣΑΛΤΣΑ  ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,62",ΣΑΛΤΣΑ  ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ,"0,62",,,7/5/2025 7:07am,,,,,,,,,
ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,60",ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,"0,60",,,9/4/2025 8:53am,,,,,,,,,
ΣΑΛΤΣΑ ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,56",ΣΑΛΤΣΑ ΒΑΛΣΑΜΙΚΟ 10 ΜΕΡΙΔΕΣ,"0,56",ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,,9/4/2025 8:46am,,,,,,,,ΠΡΑΣΙΝΗ ΜΕ ΨΗΤΟ ΜΑΝΟΥΡΙ,
ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,99",ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,"0,99","ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ",,9/4/2025 8:55am,,,"ΣΑΛΑΤΑ ΚΑΙΣΑΡΑ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΣΟΥΒΛΑΚΙ ΚΟΤΟΠΟΥΛΟ  ΜΕΡΙΔΑ",,,,,,
ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,99",ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,"0,99",,,7/5/2025 7:07am,,,,,,,,,
ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ,,,CONNECTED INGREDIENTS,,,,,,,8/4/2025 9:38pm,,,,,,,,,
ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,80",ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ,"0,80","ΜΠΕΡΓΚΕΡ YACHT CLUB,ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ",,9/4/2025 8:55am,,,"ΜΠΕΡΓΚΕΡ ,ΚΡΕΠΑ ΖΑΜΠΟΝ-ΤΥΡΙ",,,,,ΜΠΕΡΓΚΕΡ YACHT CLUB,
ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,80",ΣΑΛΤΣΑ ΚΟΚΤΕΙΛ ΚΙΛΟΥ,"0,80",ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,,7/5/2025 7:07am,,,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,,,,,,
ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ,,,CONNECTED INGREDIENTS,,,,,,,8/4/2025 9:31pm,,,,,,,,,
ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,16",ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,"0,16","ΣΑΛΑΤΑ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟΥ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ",,9/4/2025 8:55am,,,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,,,,,ΣΑΛΑΤΑ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟΥ,
ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,,,CONNECTED INGREDIENTS,COMPOSITE,"0,16",ΣΑΛΤΣΑ ΜΟΥΣΤΑΡΔΑΣ 40 ΜΕΡΙΔΕΣ,"0,16",,,7/5/2025 7:07am,,,,,,,,,
ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,,,CONNECTED INGREDIENTS,COMPOSITE,"1,05",ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,"1,05",,,9/4/2025 8:55am,,,,,,,,,
ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ,,,CONNECTED INGREDIENTS,,,,,"ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ,ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ",,8/4/2025 6:16pm,,,,,,,,"ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ, ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ",
ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,,,CONNECTED INGREDIENTS,COMPOSITE,"3,52",ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,"3,52",ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ,,9/4/2025 8:55am,,,,,,,,ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ,
ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,,,CONNECTED INGREDIENTS,COMPOSITE,"3,52",ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,"3,52",,,9/4/2025 8:55am,,,,,,,,,
ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ,,,CONNECTED INGREDIENTS,COMPOSITE,"50,39",ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ,"50,39",,,9/4/2025 8:55am,,,,,,,,,
ΣΑΛΤΣΑ ΠΙΤΣΑΣ,,,CONNECTED INGREDIENTS,COMPOSITE,"11,70",ΣΑΛΤΣΑ ΠΙΤΣΑΣ,"11,70","Unnamed record,ΜΑΡΓΑΡΙΤΑ,ΠΑΙΔΙΚΗ,ΠΕΠΕΡΟΝΙ,ΠΙΤΣΑ ΜΠΙΑΝΚΑ,ΠΟΛΟ,ΠΡΟΣΟΥΤΟ,ΣΠΕΣΙΑΛ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,4 ΕΠΟΧΕΣ",,7/5/2025 7:07am,,,"ΠΙΤΣΑ ΜΠΙΑΝΚΑ,ΜΑΡΓΑΡΙΤΑ,ΠΑΙΔΙΚΗ,4 ΕΠΟΧΕΣ,ΠΕΠΕΡΟΝΙ,ΣΠΕΣΙΑΛ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,ΠΡΟΣΟΥΤΟ,ΠΟΛΟ",,,,,,
ΣΑΛΤΣΑ ΤΥΡΙΟΥ,,,CONNECTED INGREDIENTS,,,,,,,8/4/2025 9:14pm,,,,,,,,,
ΣΑΛΤΣΑ ΦΕΤΑΣ  1ΚΙΛΟΥ,,,CONNECTED INGREDIENTS,COMPOSITE,"9,76",ΣΑΛΤΣΑ ΦΕΤΑΣ  1ΚΙΛΟΥ,"9,76",,,7/5/2025 7:07am,,,,,,,,,
ΣΑΛΤΣΑ ΦΕΤΑΣ 1ΚΙΛΟΥ,,,CONNECTED INGREDIENTS,COMPOSITE,,,,,,9/4/2025 8:54am,,,,,,,,,
ΣΑΝΤΙΓΥ ΣΠΡΕΥ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","10,14",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"10,14",,,,,6/4/2025 8:28am,,,,,,,,,
ΣΑΡΔΕΛΑ ΦΙΛΕΤΟ,,"3,60",CONNECTED INGREDIENTS,ΨΑΡΙΑ,"3,60",,,ΣΑΡΔΕΛΕΣ ΨΗΤΕΣ,,6/4/2025 8:25am,,,,,,,,ΣΑΡΔΕΛΕΣ ΨΗΤΕΣ,
ΣΕΛΙΝΟ,,"1,20",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"1,20",,,"BIANCO,ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ,ΧΕΛΙ ΚΕΡΑΜΙΔΙ",,8/4/2025 9:49pm,,,,,,,,"BIANCO, ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ, ΧΕΛΙ ΚΕΡΑΜΙΔΙ",
ΣΙΜΙΓΔΑΛΙ ΧΟΝΔΡΟ 500ΓΡ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","2,52",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"2,52",,,"ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ",,6/4/2025 8:28am,,,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,,,,,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,
ΣΙΜΙΓΔΑΛΙ ΨΙΛΟ 400,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","2,52",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"2,52",,,"ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ",,6/4/2025 8:28am,,,"ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ",,,,,"ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ, ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ), ΣΑΛΤΣΑ ΦΕΤΑΣ 1ΚΙΛΟΥ, ΜΠΙΦΤΕΚΙ ΜΟΣΧΑΡΙΣΙΟ 11 ΤΕΜΑΧΙΑ",
ΣΚΙΟΥΦΙΧΤΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","3,50",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"3,50",,,ΣΚΙΟΥΦΙΧΤΑ ΜΕ ΚΙΜΑ,,6/4/2025 8:28am,,,,,,,,ΣΚΙΟΥΦΙΧΤΑ ΜΕ ΚΙΜΑ,
